DEBUG: argc = 18
argv[0] = './concurrent_output_affinity'
argv[1] = '16'
argv[2] = '1'
argv[3] = '3'
argv[4] = '5'
argv[5] = '7'
argv[6] = '9'
argv[7] = '11'
argv[8] = '13'
argv[9] = '15'
argv[10] = '17'
argv[11] = '19'
argv[12] = '21'
argv[13] = '23'
argv[14] = '25'
argv[15] = '27'
argv[16] = '29'
argv[17] = '31'
Threads: 16, Hash Bits: 4, Throughput: 37.3074 MTuple/s
Threads: 16, Hash Bits: 6, Throughput: 65.5438 MTuple/s
Threads: 16, Hash Bits: 8, Throughput: 97.5602 MTuple/s
Threads: 16, Hash Bits: 10, Throughput: 110.518 MTuple/s
Threads: 16, Hash Bits: 12, Throughput: 107.897 MTuple/s
Threads: 16, Hash Bits: 14, Throughput: 96.2772 MTuple/s
Threads: 16, Hash Bits: 16, Throughput: 82.1339 MTuple/s
